PROLIFIC_PID	Task	similarity_1	similarity_2	similarity_3	similarity_4	similarity_5	similarity_6	similarity_7	similarity_8	similarity_9	similarity_10	similarity_11	similarity_12	similarity_13	similarity_14	similarity_15	similarity_16	similarity_17	similarity_18	similarity_19
6392 0	CFA	0.682553231716156	0.674480676651001	0.6675220131874084	0.6938241720199585	0.7200169563293457	0.7158915400505066	0.671036422252655	0.6663120985031128	0.6298201084136963	0.6177637577056885	0.35798919200897217	0.5056326985359192	0.7060962915420532	0.6349629759788513	0.6321909427642822	0.44780033826828003	0.4526241421699524	0.7349611520767212	0.7746689319610596
6392 2	CFA	0.6738173365592957	0.6370945572853088	0.4597957134246826	0.4699476659297943	0.6371784210205078	0.7249780893325806	0.6980174779891968	0.650603175163269	0.6941086649894714	0.6654265522956848	0.6531894207000732	0.6747444868087769	0.7884128093719482	0.5931310057640076	0.6759432554244995	0.6872511506080627	0.7456475496292114	0.6879127621650696	0.6632054448127747
6392 3	CFA	0.28928473591804504	0.49053511023521423	0.4096854627132416	0.42778104543685913	0.25465282797813416	0.32529106736183167	0.5659663081169128	0.4360567629337311	0.26932981610298157	0.3402211666107178	0.3087778389453888	0.5519943237304688	0.41071540117263794	0.2358771711587906	0.4196181893348694			0.579150915145874	0.47607022523880005
6392 4	CFA	0.4411792457103729	0.4501050114631653	0.5177549123764038	0.17166393995285034			0.6456097960472107	0.4582967758178711	0.7026675343513489	0.512580931186676			0.606781005859375	0.6139582395553589	0.6878518462181091	0.5731552839279175	0.6024308204650879	0.4978865385055542	0.4544229209423065
6392 5	CFA	0.42813190817832947	0.33093196153640747			0.6163021922111511	0.5858988165855408	0.505338191986084	0.5656458735466003	0.5586754083633423	0.5364339351654053	0.6294845342636108	0.5700989961624146	0.7396188378334045			0.14816416800022125	0.3272513151168823	0.1043400764465332	0.09978970140218735
6392 6	CFA	0.37366312742233276			0.6361637115478516	0.36649075150489807	0.2210094928741455	0.38182541728019714	0.6801023483276367	0.5216800570487976	0.5460079908370972	0.4180252254009247	0.23944608867168427	0.513120174407959	0.5883269906044006	0.7008777856826782	0.5125022530555725	0.5961357355117798	0.5865564346313477	0.55848628282547
6392 7	CFA	0.4266902804374695	0.02376972883939743	0.18044355511665344	0.2724113464355469	0.7214992046356201	0.5918079018592834	0.4793187975883484	0.1313285231590271	0.33133360743522644	0.3737315833568573	0.4794199466705322	0.3696373403072357	0.7775769829750061	0.6386081576347351	0.6502211689949036	0.6306925415992737	0.5425646305084229	0.6416031122207642	0.6890947818756104
6392 8	CFA	0.49834126234054565	0.7433059215545654	0.5752874612808228	0.6143788695335388	0.560357928276062	0.6440374851226807	0.7253900766372681	0.7997424006462097	0.6933730840682983	0.7341267466545105	0.6245566606521606	0.5847067832946777	0.6398797035217285	0.6194682717323303	0.7416633367538452	0.6385877728462219	0.7420228123664856	0.6488005518913269	0.7604914307594299
6392 10	CFA	0.6811168193817139	0.577985405921936	0.6656234860420227	0.4672153890132904	0.509387195110321	0.69330894947052	0.5310744643211365	0.5729396939277649	0.735409140586853	0.7042316794395447	0.7846441268920898	0.5678056478500366	0.5235850811004639	0.5927318930625916	0.6230836510658264	0.6587063670158386	0.7311397790908813	0.6074435710906982	0.5913012623786926
6392 11	CFA	0.39511144161224365	0.3575710654258728	0.5170600414276123	0.5797598958015442	0.3616410493850708	0.40171706676483154	0.48230642080307007	0.4817456603050232	0.44570162892341614	0.477784663438797	0.14655883610248566	0.17810173332691193	0.48741990327835083	0.4055241644382477	0.39096975326538086	0.49865445494651794	0.43440040946006775	0.370063841342926	
6392 12	CFA	0.7293100357055664	0.7655680775642395	0.7479245662689209	0.6206517219543457	0.5301788449287415	0.645462155342102	0.6246351599693298	0.6650458574295044	0.5520269274711609	0.5370824933052063	0.7284786105155945	0.8096867203712463	0.7271660566329956	0.6743420958518982	0.66048264503479	0.5846349596977234	0.6000112891197205	0.6678358316421509	0.6927258968353271
6392 13	CFA	0.307874470949173	0.09903331100940704	0.08260319381952286	0.46486735343933105	0.6977965235710144	0.630060076713562	0.5232678651809692	0.4810672402381897	0.7240806818008423	0.6735120415687561	0.6758495569229126	0.4599199593067169	0.3698638081550598	0.42914101481437683	0.6208697557449341	0.60523521900177	0.5962377190589905	0.42116865515708923	0.4041464030742645
